[28-Jun-2025 05:08:02 UTC] PHP Parse error:  syntax error, unexpected identifier "after_setup_theme", expecting ")" in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\functions.php on line 8
[28-Jun-2025 05:08:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-includes\class-wp-recovery-mode-email-service.php on line 367
[28-Jun-2025 05:08:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-includes\class-wp-recovery-mode-email-service.php on line 368
[28-Jun-2025 06:04:12 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-includes\class-wp-customize-widgets.php on line 926
[28-Jun-2025 06:06:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\header.php on line 40
[28-Jun-2025 06:07:19 UTC] PHP Warning:  Trying to access array offset on value of type bool in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\header.php on line 40
[28-Jun-2025 06:07:42 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-includes\class-wp-customize-widgets.php on line 926
[28-Jun-2025 06:07:44 UTC] PHP Warning:  Trying to access array offset on value of type bool in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\header.php on line 40
[28-Jun-2025 08:16:36 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
[28-Jun-2025 08:17:20 UTC] PHP Deprecated:  strip_tags(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-admin\admin-header.php on line 41
[28-Jun-2025 08:17:42 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
[28-Jun-2025 08:17:43 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
[28-Jun-2025 08:17:44 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
[28-Jun-2025 08:17:44 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
[28-Jun-2025 08:17:45 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
[28-Jun-2025 08:17:45 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
[28-Jun-2025 08:17:45 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
[28-Jun-2025 08:17:45 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
[28-Jun-2025 08:18:00 UTC] PHP Deprecated:  strip_tags(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-admin\admin-header.php on line 41
[28-Jun-2025 08:19:11 UTC] PHP Deprecated:  strip_tags(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-admin\admin-header.php on line 41
[28-Jun-2025 08:19:12 UTC] PHP Deprecated:  strip_tags(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-admin\admin-header.php on line 41
[28-Jun-2025 08:19:37 UTC] PHP Deprecated:  strip_tags(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-admin\admin-header.php on line 41
[28-Jun-2025 08:38:52 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
[28-Jun-2025 08:39:00 UTC] PHP Deprecated:  strip_tags(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-admin\admin-header.php on line 41
[28-Jun-2025 08:39:29 UTC] PHP Deprecated:  strip_tags(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-admin\admin-header.php on line 41
[28-Jun-2025 08:41:07 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
[28-Jun-2025 08:41:17 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
[28-Jun-2025 08:41:52 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Local Sites\wordpres-simple-custom-theme-main\app\public\wp-content\themes\jadev\comments.php on line 13
